id_albuma,descriptive_word
204,male vocals
204,melodic
205,quirky
205,atmospheric
205,eclectic
205,surreal
205,psychedelic
205,sampling
205,ominous
205,instrumental
205,bittersweet
206,soothing
206,instrumental
206,triumphant
206,happy
206,uplifting
206,playful
206,energetic
206,calm
206,melodic
207,male vocals
207,energetic
207,playful
207,eclectic
207,passionate
207,melodic
208,urban
208,optimistic
208,male vocals
208,philosophical
208,conscious
208,sampling
208,melodic
208,rhythmic
208,uplifting
209,psychedelic
209,drugs
209,fantasy
209,surreal
209,playful
209,abstract
209,cryptic
209,quirky
209,male vocals
210,heavy
210,male vocals
210,drugs
210,rhythmic
210,sombre
210,dark
210,alienation
210,introspective
210,psychedelic
211,energetic
211,heavy
211,male vocals
211,melodic
211,passionate
211,rhythmic
211,technical
212,hypnotic
212,aggressive
212,warm
212,psychedelic
212,male vocals
212,energetic
212,repetitive
212,noisy
213,energetic
213,noisy
213,male vocals
213,angry
213,aggressive
213,alienation
213,heavy
213,raw
214,male vocals
214,energetic
214,complex
214,progressive
214,melodic
214,uncommon time signatures
214,technical
214,science fiction
214,optimistic
215,instrumental
215,energetic
215,eclectic
215,playful
215,uplifting
216,mellow
216,lush
216,soft
216,male vocals
216,warm
216,complex
216,nocturnal
216,melodic
216,bittersweet
217,surreal
217,complex
217,rock opera
217,uncommon time signatures
217,male vocals
217,fantasy
217,melodic
217,suspenseful
217,progressive
218,soothing
218,mellow
218,atmospheric
218,lush
218,warm
218,peaceful
218,playful
218,bittersweet
218,androgynous vocals
219,male vocals
219,energetic
219,melodic
220,melancholic
220,melodic
220,bittersweet
220,male vocals
220,alienation
220,poetic
220,warm
220,introspective
220,love
221,instrumental
221,warm
221,passionate
221,improvisation
221,acoustic
221,mellow
221,melodic
221,technical
221,energetic
222,nocturnal
222,dark
222,atmospheric
222,surreal
222,mysterious
222,suspenseful
222,instrumental
222,melancholic
222,eclectic
223,instrumental
223,melancholic
223,nocturnal
223,mellow
223,soothing
223,sparse
223,melodic
223,peaceful
223,acoustic
224,raw
225,male vocals
225,spiritual
225,psychedelic
225,uplifting
225,introspective
225,sampling
225,passionate
225,eclectic
225,bittersweet
226,anxious
226,dark
226,mysterious
226,cold
226,atmospheric
226,sombre
226,female vocals
226,introspective
226,pessimistic
227,passionate
227,energetic
227,psychedelic
227,improvisation
227,male vocals
227,playful
227,raw
227,conscious
227,rhythmic
228,energetic
228,passionate
228,anxious
228,cryptic
228,angry
228,aggressive
228,technical
228,male vocals
228,melodic
229,ominous
229,sampling
229,dark
229,futuristic
229,cold
229,nocturnal
229,cryptic
229,male vocals
229,abstract
230,epic
230,fantasy
230,orchestral
230,suspenseful
230,ominous
230,lush
230,mysterious
230,triumphant
230,choral
231,uplifting
231,happy
231,summer
231,passionate
231,playful
231,tropical
231,romantic
231,energetic
231,male vocals
232,male vocals
232,eclectic
232,passionate
232,melodic
232,energetic
232,melancholic
232,urban
232,alienation
232,epic
233,raw
233,noisy
233,dissonant
233,anxious
233,male vocals
233,surreal
233,female vocals
233,apathetic
233,urban
234,optimistic
234,male vocals
234,political
234,rebellious
234,protest
234,rhythmic
234,uplifting
234,passionate
235,ritualistic
235,apocalyptic
235,dissonant
235,orchestral
235,instrumental
235,suspenseful
235,avant-garde
235,complex
235,mysterious
236,LGBT
236,passionate
236,sentimental
236,introspective
236,love
236,concept album
236,male vocals
236,bittersweet
236,lonely
237,mysterious
237,cryptic
237,abstract
237,anxious
237,surreal
237,male vocals
237,sarcastic
237,eclectic
237,suspenseful
238,orchestral
238,triumphant
238,instrumental
238,space
